id_instituicao_de_ensino,nome_da_ies
68668,FACULDADE DE ADMINISTRAÇÃO DA FESPSP
68670,CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS
68866,FIAM-FAAM - CENTRO UNIVERSITÁRIO
69996,FACULDADE EVANGÉLICA DE RUBIATABA
70034,FACULDADE EVANGÉLICA RAÍZES
76866,FACULDADE DE ESTUDOS SUPERIORES DE MINAS GERAIS
76917,FACULDADE DE DIREITO PADRE ARNALDO JANSSEN
76942,FACULDADE DE ESTUDOS ADMINISTRATIVOS DE MINAS GERAIS - FEAD-MG
76989,FACULDADE DE CIÊNCIAS GERENCIAIS PADRE ARNALDO JANSSEN
82359,FACULDADE DA REGIÃO DOS LAGOS
82536,CENTRO UNIVERSITÁRIO UNIFAFIBE
82549,CENTRO UNIVERSITÃRIO DE ANÃPOLIS
82733,FACULDADE RAIMUNDO MARINHO DE PENEDO
82743,FACULDADE RAIMUNDO MARINHO
82956,FACULDADES INTEGRADAS STELLA MARIS DE ANDRADINA
83392,UNIVERSIDADE DE ARARAQUARA
83460,CENTRO UNIVERSITÁRIO DE ARARAS -
84776,FACULDADE EVANGÃ¿LICA RAÃZES
86927,CENTRO UNIVERSITÁRIO DO NORTE PAULISTA
87965,FACULDADE DE CIÊNCIAS CONTÁBEIS
87971,FACULDADE VISCONDE DE CAIRÚ
89259,FACULDADE SALESIANA DE SANTA TERESA
102765,FACULDADE ESTÁCIO DE ALAGOINHAS
103067,FACULDADE ESTÁCIO DE JARAGUÁ DO SUL
103073,UNIVERSIDADE DE MARÍLIA
109046,FACULDADE DE DIREITO DO SUL DE MINAS
109144,UNIVERSIDADE DO VALE DO SAPUCAÍ
117068,FACULDADE DE EDUCAÇÃO CIÊNCIAS E ARTES DOM BOSCO DE MONTE APRAZÍVEL
119730,CENTRO REGIONAL UNIVERSITÁRIO DE ESPÍRITO SANTO DO PINHAL
125722,FACULDADES INTEGRADAS SIMONSEN
127485,FACULDADES UNIFICADAS DE CATAGUASES
127934,FACULDADE DE ADMINISTRAÇÃO DE CATAGUASES
127967,FACULDADE PRESIDENTE ANTÔNIO CARLOS DE VISCONDE DO RIO BRANCO
128451,FACULDADE PRESIDENTE ANTÔNIO CARLOS DE SABARÁ
128718,FACULDADE PRESIDENTE ANTÔNIO CARLOS DE BAEPENDI
128774,FACULDADE PRESIDENTE ANTÔNIO CARLOS DE LAMBARI
131783,FACULDADES DE DRACENA
136851,FACULDADE NOVE DE JULHO DE SÃO BERNARDO DO CAMPO
