COD_POSICAO,SG_AREA,COD_ITEM,DESC_GABARITO,COD_HABILIDADE,ITEN_ABANDONO,DESC_MOTIVO_ABANDONO,NUM_PARAMETRO_A,NUM_PARAMETRO_B,NUM_PARAMETRO_C,COD_PROVA,DESC_COR_PROVA,COD_TIPO_LINGUA,COD_ITEM_ADPTADO,DATA_PROCESSAMENTO
92,CN,88403,D,5,0,,2.9738,1.96749,0.12076,914,AMARELA,,,10/12/2022
125,CN,19227,B,14,0,,2.39928,1.65732,0.14967,914,AMARELA,,,10/12/2022
130,CN,63600,B,15,0,,2.78598,1.12828,0.24608,914,AMARELA,,,10/12/2022
127,CN,62293,B,5,0,,3.00296,1.17427,0.16918,914,AMARELA,,,10/12/2022
133,CN,117867,E,12,0,,2.57831,1.34841,0.19923,914,AMARELA,,,10/12/2022
98,CN,54019,B,24,0,,3.87694,1.86924,0.19867,914,AMARELA,,,10/12/2022
91,CN,111664,A,13,0,,2.45876,0.44934,0.19743,914,AMARELA,,,10/12/2022
93,CN,117980,C,6,0,,1.7383,1.40697,0.1367,914,AMARELA,,,10/12/2022
132,CN,111498,D,14,0,,0.7292,3.81485,0.10881,914,AMARELA,,,10/12/2022
112,CN,117898,B,3,0,,2.68999,0.6514,0.15907,914,AMARELA,,,10/12/2022
129,CN,117843,A,27,0,,4.13911,0.76309,0.13487,914,AMARELA,,,10/12/2022
96,CN,111546,D,23,0,,3.28052,1.65567,0.21068,914,AMARELA,,,10/12/2022
117,CN,89864,C,17,0,,2.59028,1.66716,0.26726,914,AMARELA,,,10/12/2022
116,CN,98108,D,3,0,,2.76968,0.71695,0.24269,914,AMARELA,,,10/12/2022
100,CN,78726,E,16,0,,1.27392,1.76469,0.13413,914,AMARELA,,,10/12/2022
134,CN,63095,D,1,0,,3.01758,1.65693,0.15293,914,AMARELA,,,10/12/2022
128,CN,85781,C,20,0,,0.77238,3.24395,0.19069,914,AMARELA,,,10/12/2022
120,CN,117795,B,10,0,,3.24877,1.21839,0.09433,914,AMARELA,,,10/12/2022
110,CN,86378,D,30,1,Não permitiu a convergência do algoritmo de estimação da TRI,,,,914,AMARELA,,,10/12/2022
115,CN,111544,A,22,0,,2.35776,1.39005,0.14902,914,AMARELA,,,10/12/2022
107,CN,81640,B,21,0,,1.7041,1.93672,0.18178,915,LARANJA,,1,10/12/2022
135,CN,68355,E,28,0,,1.89221,0.64628,0.16333,915,LARANJA,,1,10/12/2022
96,CN,111546,D,23,0,,3.28052,1.65567,0.21068,915,LARANJA,,1,10/12/2022
131,CN,12401,E,19,0,,1.83234,0.97623,0.19551,915,LARANJA,,1,10/12/2022
126,CN,111647,B,23,0,,2.72669,1.99105,0.20284,915,LARANJA,,1,10/12/2022
